processed_text,label
everyone hoping drops accumulate many hidden buyers behind believe,1
lets see breach next week,1
move underwear oil n gassuper rallyuncle yy dayang beat enemy jaks soonest hundreds small kids attacked old masterresults reveal oil n gas,-1
buy buy buy buy wait,1
ik mil shares almost half whole day trading volume mil plus mil idss mil shares wow mil shares trade public bravo ik,1
tiger conmandont dream,-1
deal done must seller think price may fall must also buyer think share price may move powerful operator newton law gravity may apply short period time like powerful rocket propel space craft moon japanese candle stick cheat volume may better indication fred thams tvva momentum play day trader may effective days chart,1
jaks really good already break ytds highwhy yesterday people still take profit today sell,-1
go sapura gosen,1
greedy jaks cent daily year end,1
ok support buy queriding th wave,1
buy wait,1
mau short cents tikam angin ka old shark salah short price ka,-1
kcchongnz name quoted ks dont recall kcchongnz making negative remarks jaks,-1
gemfinder last year fund manager select dayang many chose cimb maybank tenaga fact ibs gave tgt price less rm end dayang closing price onst dec five bagger youcompared dayangprice nd jan ib stupids returns cimb maybank tenaga,-1
get ready cut loss strategy sifu may want use local maxima reference ie cut loss sifu may want use purchase price ie cut loss present price triggered cut loss win big lose small safe protect capital first priority already retired near retiring x x,-1
big show coming,-1
jaks faster drop hibiscs already break even going sale anytime change universe miss jaks hope guy keep saying bad jaks please bring lower,-1
armada sen p,-1
even break cents lousy pbn,1
price definitely super undervalued compared yinson pe yinson got rm share pe almost armada price even got pe ridiculous,-1
u see epf disposed market absorbs epf buys back idss subside price rocket,1
pangsai conman,-1
sapnrg collapsed spinning curse really accurate,-1
drop sure sailang bullet,-1
really rubbish stock contract fundamental still intact shares issue much director paid high,-1
morning morning counter related umno go upprime minister mahathir mohamad looks set replace malaysias ruling pact wider coalition include opposition parties umno parti islam semalaysia pas could leave pakatan harapan ph allies voted government last general election political sources sayit understood tun dr mahathir corralled support majority lawmakers parliament flurry party meetings yesterday yet receive nod malaysias king sultan abdullah riayatuddin engineer new socalled backdoor governmentthe move successful thwart succession plans parti keadilan rakyat pkr president anwar ibrahim meant take dr mahathir prime minister agreement ph parties,1
blow job mean,-1
cpecc reliable ipp success become new normal got b something spectacular,1
mau tengok celaka long de shit spinninglotus dogeatshit,-1
tun announce stimulus economy package thmeow,1
walao hell breaks loose everything falling crude oil price n global equities nonstop selloff eye see already,-1
go read meaning fact tell fact figures fact jaks losing money fact already verified fact figure speculation feel good syioksyiok,-1
producer naik apanama macam ni,-1
singapire big trouble wuhan virus starting lose controlmalaysia goverment still dun want stop worker singapre everyday stop sinpaporean come malaysia,-1
wah lau dont play play oh,-1
scold shark stupid want sell push like also consider type shark gui ren,1
think eat much maggi mee much dangerous wuhanviresdie faster,-1
market loss th may th may points happen current political drama happen market potential touch heheehemalaysia,1
haiz perform worse airasia although airasia fresh scandal seems like company really bad fundamental,-1
cut loss jakshaha must kidding,-1
dear ks law present looking backward examine forward worry future need free resentment past worrisome future order capture opportunity present point keeps dwelling sorrowful past fearful future need live present present fact figures tell past record jaks awful near future duong power plant bright otb dk others forum promote jaks sailang margin finance likes promoted everyone forum welcome digest whatever information forum make intelligent inform decision want wait clarity one force buy wait till end year know exactly much profit dividend distribution duong power plant still convince wait jaks declared dividend shareholders buy jaks free world free make choice thank,1
slowquite radical turn billion behemoth profitablei like part sacked sme increase operating efficiency krakenthats garbage policy sapura exercise degree meritocracyregret didnt buy dsonic plagued zahid bribery scandalsdsonic legit gov service provider corrupted official come ask bride bolehland isnt fault bottom line look company thats plagued bad sentiments without operational material difficulty,-1
wondering love pouring cold water see people lose suffer shiok eh,-1
invinciblemaybe u still youngdo play fun corona viruspeople sufferingtq,-1
buy,1
thing price n,1
mudajaya business sense sarifah even speculate element scam,-1
willing lets take look jaks given option acquire additional haiduong power station making significant partner dateline year cod cost rmm another juicy part contract frequently talk yet given projected cashflow sufficient acquisitionit brainer jaks make acquisition think sooner laterprobably btw jaks board seats rep cpecc board seat first year impact net profit full production stake rm million eps base target price jaks rm net profit full production stake rm million eps base target price jaks rm haiduong plant fully operational nd half jaks acquired stake suspect pe go well anyone free debates numbers fact better still provides rational data pls good spirit,1
sen friday downtrend otb jaks still trending stock reason cut loss base ta cut loss stock trending stock,1
wow oils shoot,1
ciaksai normal human feel shame attack people stock market like people lose money laugh bad heart hence well investment klse god bless type people wait see consequence,-1
oil wow,1
wow buy,1
never know next u see armada break,1
want cny angpowgo grab emico tomorrow least sen gain hope years sen gain,1
fed back already week armada operator thing n,-1
price next minute hour days cant tellprice month time q almost certain high todaymatch buysell decision base preferred holding period youre day trader trading volatility buy sell make sense depending speculation hold couple month buy seems make sense,1
happy new year motto remainsrelax keep calm continue buying temporal dips,1
lotus info share lerrrr save ppl good,1
looks like idss focus royal fortune icon today climbs already senmore black pearl armada course queen anne sapnrgmeow,1
r join drama show tell one r true hero,-1
annemummy waiting remember mummy saiddont talk strangersee soon,-1
wow amazing damn hot man armada today happendnow armada already traded today probably close keep armada huat ah heng ah ong ah,1
close next week starts accumulating,1
rocket missing,-1
crude oil price keep dropping europe equities bloodbath us dow jones futures drop pts already,-1
klci lausai pts last day st day trading dont know lor,-1
sapnrg pushing already hope kept shares intact wahaha cny dinner coming soon,1
oil trade downward stay low month,-1
morning morning goes come economic slow due coronavirus outbreak eventually go,-1
everyday shpok annie say big show pm show till already week dont believe shpok annie anymore sell mil shares price really got buy back,-1
buy wait,1
needs month already today,1
sailang sailang,1
idss play quite risky game cant cover timethey lose lotidss feed momentary fear investor feed business value kong kam buy high sell low also make chicken feed,-1
whether tp c tomorrow next week problemjanji reach rm soon,1
upward swing factor osv utilizationpetronas significantly bumped upstream capex demand osv h think armada benefit tremendously utilization likely end year armada realize full cashflow generation potential pare debtalso there short term liquidity pressure armada whole basis think downside risk limited upside potential huge especially potential claire award incomingbuy hold sit tight bumpy may enjoy ride,1
u guys sensen go missing kena tsunami sapu naik pokok kelapa,-1
rj shaky already like kychanheehall promote people buy senand still promote buy epf dumping stocksdahlahdont ask people keep quiet pandai,-1
mudajaya also ipp cheap,1
positive next quarter still bleeding like hellomfg,-1
many counter invest screw,-1
dk answer first much jaks owe star honest,1
oil bearish unless another missile strike else wait marc lo,-1
cut loss stratergy cut loss company change bad future la hibiscs going turn green lo follow loss kuat kuat super bright future jaks must hold,1
ppl stuck long time huge losses lack confident scared buying normal situation like spinin sap high promoted buy called consider lower confident said might going bankrupt,-1
cents coming soon,1
spin said afraid bankruptcy obviously sap restructured works smoothly,1
brent oil got full confidence armada,1
us futures loss lot morningcrude oil alsomalaysia political dramaperghmonday blues today,-1
operator fishing shorties short,-1
came back dalat vietnam experienced power blackout vietnam needs electricity jaks treat well authority,-1
sell,-1
good sign good sign strong faith miss jaks believe perform well onwards despite bomb dropped kyy cheers,1
sell ur jaks switch kronob u regret,-1
whats wrong cut paste interested see posted dec want influence write speak mind form opinion got interested jaks read jaks withdrawing appeal prepared pay penalty million star,-1
base data reach lor,1
let see whether low rm sustained,-1
lelong day making,1
calvin kor kor,1
u indeed talented short seller player maybe tomorrow,-1
follower forum bought good exercise cut loss strategy referring bought sen surely laughing way bank selling one bought cushion bought price much lower preserve capital still want relevant stock market,-1
cayalah sapura go sapura goall way senboleh makan kentuckymcdkenny rogerssemua hentam,1
many many good counter buy instead sapu la la,1
believe companys turnaround stories patience often prevailsand us longer term armadians counting money many month red tanked c,1
bother noob stop asking stupid dumbass question go family instead waste time developing garbage dont hold need yo bother,-1
sigh still learn,-1
yes never follow old sifu ask soldier person war zone stick one methods soldier obey general order position destroyed whole army answer yes never use old methods cutlost coward play trade earn loser like fight retreat thats paktua view personally still respect method apply style want long comfortable tut tut stick style play methods,-1
look dayang counter going sapura sleeping cause management also sleeping much also good news still counter move something wrong telling truth debts debts high cause counter move waste time n money counter many better ones bursa,-1
lol sure go even also good buy lar really talk cork king,1
ex umno x der integrity penipu senyum kambing bodoh,-1
take care position first afford lose stock market anyway k hold big deal roi portfolio used profit buy jaks add position today ask ciaksai good stock buy none know write proper recommendation report know read ta fa report ciaksai good good ciaksai attack writer stock market,1
dammnnn back better take profit cut win st,-1
oil gas counter rebound except sapura,1
market funny placethey like think know thing others dont knowthen buy suddenly surge volume price movementeven though news movement happy buy believing something brewing blardy chart show monkey pattern theremikekim shares fundamentals company sen price went market think mikekim wrong price market think overpricedwhen fye annualised earnings sen whats overprice pe rather buy something trading pe want believe company buy double digit growth even became fcking elephant pe market think thats double digit growth easy come smtgthe market really treat bourse like online casino today buy big buy small,1
yumee habis habis yumee yumee buy high sell low hahaha habis yumee,-1
dragoni like youpositive thinkerbutcoronavirus dangerous lordont play playmaybank cimb chart also negative lorcan test power maybank cimbdont play play dragonyou tonne money u x scared lai little onlybetter scared wait fbmklci,-1
sapura energy price dropwall paper,-1
dont smarter rest disciplined rest warren buffett believe hence lose big money always cut loss protect capital thank,1
skill dont trade laeat shit lorrrr,-1
boring counter,-1
fruit broi got ski got little luck last year year sink sure,-1
january volatile tradeget readyall besti think game market fall badly chinese new year rally,-1
apanama ur sen basisthats purely baselessif armada trade sen yinson trade rm ur sapura close shop alreadykakakaka,-1
still stuck sen still got hope,-1
cny coming counter slow much momentum movingggg,-1
today even worst volume,-1
yelling nothing today jaks drop cent normal almost watch list naysayers please help bring jaks price abnormal got nothing support said hard,-1
nothing worry epidemic subside month antidote found avoid nonvegetarian food take pepper basil leaves daily,1
dk pjseow icon probability worry let attackers want time tell right point argue done best help sincerely honestly well last year especially stock investment believe good karma thank,1
iraq got issue thats refinery stopped fight yet,-1
apan oil price level sell car got armada shares sad,-1
sifus contractor involve law suit considered good got hear gamuda ijm etc involve law suit vietnam govn try sue jaks ipp construction delay possible,-1
early predict jackpot price,-1
ik dont miss chance please announcement bought since sold alot,1
actually month possible test downtrend yoyo pattern longer term continue uptrend earn show increase pattern,1
bought back jaks even though put portfolio real life portfolio slightly different competition portfolio one real money protection capital important one win risk acceptable example real life portfolio almost alliance bank competition portfolio put think sexy deliver killer punch,-1
someone pls send coronavirus parliament hse send despicable moron politicians hell think self interest principal hahaha,-1
wait babi get swine flu firstthen u sell,-1
think hold becoz good result past quartertigerball share us think armada perform better decline there point toxic towards investor market purpose make money,1
chow pi masteryou starting misbehavenow wife fakk offhundreds billions losses defended matter look itjust fakk,-1
today never talk short selling sapura energybut asked sell technical rebound exitthis technical rebound real crashtarget price cents still remains,1
br vietnam plant record report ans malaysia also cancel projects still say vietnam project retailers jaks buying dream dream like hengyuan masteel trx,-1
blow till longer get particle coming lines ensure put steam via turbine later longer particles high velocity line cause damage turbines,-1
however caught watching alam panda recommend around cat last manage buy tickets yday another turnaround company,-1
learn something priceless gain experience crisis ncovbrend wti drop also brexitmaybe jones make major correction sell k point effect asian country may klse also going crash soon maybe get ready buy bottom sapura energy ct,1
hahaha member degree dlm bluffalogy bersama keluar untunguntung berita trap greedy newbieswakakaka,-1
omg war erupt us iran equity sure drop u biu oil commodity oil stock,-1
millions fund fund manager ready get jaks next week,1
ik may sold armada shares silent whole morning,-1
im graduate easy life retired early,1
mega sales armada bro mikekim,1
slooooow death worry rebound books start show profit low debts,1
cny angpao big ok next year wan big one sapulah xd,1
honestly saying waste time money counter management purposely many placements push counter lower cause easily business overseas people see even goood news also push counter consolidating business please take note guys,-1
annie say accidentally sold buy back sen already bought back senif everybody huat except idss morningif sen idss hv absorb k losses,1
quality certain character really make sick wondering going teach child good values,-1
stocks push later due influenza aheheeheehno vaccine,-1
seems like armada operator wants press price,-1
thanks edkfc kind investor want jaks look businessto really mean business sense,1
today break c track c,1
hahahaha pjseow someone say sell two quarter reduce earn find another target take pinch salt sell sell need,-1
doubt break today,-1
jaks downtrend looks like kyy beat otb moment,-1
counter really interest low always around area buy sell buy sell hahaha,1
stay tunedidss scared shitless,-1
ba keeping armada constructor installers deployment till next quarter report,1
come armada go sen sen,1
sen already generous,1
today idss die also hv block sen hope buy wont sell idss run juice,-1
africa also got swine feverbumi armada exposure africaso armada share come,-1
mabelsteadybrent oil rocket usd matter armada break c,1
tomorrow senbe bravehehe,1
uhhh heck happened sapura oh sapura hold u long long everyday u let let ur self learn armada,-1
omgwhat falling knife,-1
still laughing way bank loss cut lah never think cut loss loss yet thank,-1
global impact virus outbreak know second quarter report dont hold breath early recovery majority counter red bursa sleeping long time perhaps till november,1
morning morning dow jones alright meaning klse wont drop points la,1
bloodbath everywhere heart attack many ppl ended hospital icu,-1
day cut lost wait buy cheap,1
old men fight one buy call one sell call dont know misled people set agreement lost fight must withdraw world stock market investment stop posting blog,-1
beside og counter gold counter bahvest today check emico poised rally day make today never,1
called technical rebound bro dont play la u sure u know chatty,-1
present forum best support jaks thank coming spend time,1
muahahaa pawned,-1
naysayers respectable tell fact truths lie misrepresent intentionally liars simple,-1
base target price jaks rm wo like,1
become real guy man,1
dearest sarifahselinder mfcb owned foreign biz jaks onli even like politics anything less golden share anything happen bring sexist wife money chinaman fun w forever super high jaks soli please forgive bcos many r putting hard earn money investment lets holds barred never scold curse anybody w commentsopinions nobody perfect except,1
still watching shares hehehe,-1
u connumber shares increase times price maintain cents since right issues,1
yet jackpot price,-1
lng price today,-1
dk yes base public invest report dated donsahong power plant sell mw electricity laos government earn approximately rm million q test run making revenue dong start generating electricity also make test runmoney electricity sold,1
lost value shareholders yet get highly paid enron,-1
buy wait,1
somebody vested interest write bias need explain need say paint picture entirety truth truth suppression truth even parts id fatal prosecution case telling truth whole truth nothing truth make effort drain integrity questionable,-1
coz dont know read chart baca salahkah kah kah,-1
sap attractive,1
sk mo news seems like maybe drilling postponed due internal issue omv,-1
aiyoyoyo timpat dali lulu smpai sikalang spiningtaik aajagah aiyoyoyoyi,-1
apanama u wan na change id many time sen sen change one timesen change another timesen change another tomewait becomes sen support u change another time,-1
jokers praying klci go praying sapnrg,-1
course oil prices plunge bad,-1
worry low price company turnaround good profit price keep going,1
sell dayang buy jaks sell jaks buy dayang decide buy lor sell u,-1
haha im waiting jackpot price long long long la,1
kn tell full story also use proverb wrong context represent patience look longer term thr moral story tell peoples dont upset temporary setback rather prepare longer term gain jaks good long term prospect years good annual return selling jaks cut loss behaving like short term like keep jaks dont worry future earnings,1
kasi tech kitaorang la newhorizon putty mau hantam mau kasi hantam pecah lantai ka,-1
pang look cent profit thought u blow said go oh blow lol,-1
seems like real crash onwards never rebound market index stock crazy crash vs,-1
cheap every quarter also red low oil price hope bad management turn around right issues soon drop like shit,-1
know dk need money survive enough money hence retired early also enough money retire life want contribute knowledge believe good karma believe us thank,1
dont forget og company worst case scenario price would sen,-1
ni tua takut jaks overtake dayang,-1
share market going half death lol,-1
ks already made know cost tp nevermind unwilling reveal tp,-1
sound like good deal,1
profitable business trade sen ur sapura day day lose money one close shopu agree u sold ur sapura join armada better,1
wakakakakakakakaakalong de shit short morning mau talk talk short selling ka kena taik duduk diam diam ka kepala benam masuk loji taikarmada also short morning kah kah kah,-1
waterfall otw,-1
never say kcchongnz commented jaks forum read carefully love kcchongnz preaches margin safety fcf profit margin,1
haha apanama hope u serious statement want buy oil world war base historical wars oil price take war hit,1
tun tua must deny,-1
bought ambank maybank public bank unit trusts last year quite dissapointment returns low singledigit sold unit trusts opinion top stock picks competition better institution investor top last year stockpicks produce excellent doubledigits returns think institutions beat view dissappointing klse index year end closing investor iare worried ib choose jaks well dont choosedayangand mfcb stocks produced excellent results,1
armadas year shine,1
spinin sapulala sap going bankrupt,-1
hope learn precious lesson beware skl like pang ik always shout sure go sure go bla bla bla want chase high sellnow even ask buy ask chase certify conman,-1
many ppl taking profit today tomorrow open high let see,1
everyday many promoters talking yet youll stop talking jaks drop,-1
dragon macam dap jugaego ja lebihdia sorang ja bagusbila betuldia kata terrorbila betultak mau credit kat oranghentam lagisebijik perangai lim guan engsudahlah dragonitulah asyik gelak kat hentam oranglain kali padilagi berilmu tundukbukannya egosudah muak tengok lu hentam spinninglotus appreciate people viewsyang u tau diversionsebijik perangai lim guan eng daplu dap kotkekekekeke,-1
bad play counter positive company bad counter,-1
cheapskate operator,-1
today star online headlinepm im ready step downso market ladont long la coming,-1
dear xiaoqing please enlighten relationship news posted related jaks dont see effect thank,1
coronavirus increase sapura dropping coronavirus stable reduce confirmed suspect cases sapura continue dropping issue sapurabuy sapura like putting money fd,-1
good la good la got ppls eat dont mind got cheaper janji untung,1
og rises lot left debt burden yet restructure like icon barakah scomi perisaitheir times come soon long secure new contract still sitting debt able pay avoid first wait path clearfor stock shoot fund must see profit growth prospect still wont move,-1
push push pusha bit come sen almost,1
oil price dropped much yet still quite sustainable patientdec results super good quite unlikely dec better q looking current oil price know unless unusual one gain,1
jaks still trending stock reason cut loss base ta cut loss stock trending stock please read chart clearly share price jaks still far high day sma trending stock left hand side high right hand side trending stock right hand side high left hand side jaks still trending stock start trending share price breaks month high used days sma month period share price must high day sma presently share price jaks high day sma hence jaks trending stock worked technical chart trainer year malaysia china hong kong conduct training course students country thank,1
ik pls buy today big show come pm,1
wah u still stay cool tahan,1
help u abitso u dont die horribly,-1
month month get lower n lowestcts coming consolidate,-1
come sapuraits already head towards vision sapura must break senekekekekeekdow jones already approach bursa malaysia kotgo lamalaysia,-1
dk many variables anyone determine long term target people keep revise target price time time target price already reach may revise high target price earn keep increase go sideway slightly downside bias,-1
keep going spinning lotus curse,-1
sapura energy continue falling badly,-1
morning morning aiya sen difficult reach sen,-1
hunch price tanked intentional repudiation contract woodside affected armada fy earnings cause price drop sen sen market cap rmbil rmbil wiping rmbil putting armada finances distress result termination making woodside responsible direct indirect losses armadaso price stay low proceed fair armadas shareholders australian court rule favor armada restore global confidence global trading partner getting business agreement australia wholesen upon announcement,-1
hope jaks perform well,1
anyone confident buy staggered every sen interval surely get average cost lower lower dollarcost averaging one invest principle flexible need follow,-1
ksyoure alone supporters blindly support vietnam plantgive dream attacked people talked fact arroganti believe uncle koon right people optimistic bought stocks bought dream dream chart break head plus margin calls maybe,-1
mudayjaya sucess due roti canai goverment melawar capable sure jaks success vietnam aes keen secure electricity work vietnam mean government got roti canai aes loss first powerplant project cpecc sure capable perform well,1
especially follower made damn good profit money power snowball,1
god bless malaysiahope malaysian easy life future,1
roti canai government problem problem secured predetermined return go n build india ipp jgn build india ipp option,-1
unfortunately wish state clear malaysia government cancel due save cost vietnam government vietname government cancel project already running profit jaks dint mention uncle koon always right making profit consecutive quarters consider jaks unsold property like evolve mall court case star buying dream realistic even otb post buy jaks vietnam plant sound like dream,-1
rather wait time armada,1
lose money always win back easy regain reputation,1
oil rebound soon,1
buy,1
lol wait watch war online u still internet tiger,-1
glc counter judi others cutwin nak masuk balik rege dah melambung averaging susah kikiki,-1
dont think got war tomorrow stocks go,1
discount discount discount,1
dragoni cakap means pray comes downlama lama cakap get itlike armadai cakap touch sen senlama lama almost sen alreadysame like knmwhen seni cakap touch senlama lama almost sen alreadybut today climb back senbut problemit touch sensensame indexlama lama touch onejust wait patiencepatience virtue,1
welcome januaryvolatile trade aheadkkekekekehopefully break kakakakaka,1
okay la oil price doesnt crash need worry oil counter,1
morning morning everybody takut coronavirus takut takut transactions make base fear overall economy effected course gon na cautious shares pickgood thing many share price drop could pick shares u wan pick og oil affect automobile also effect manufacturing businessthe fact many country encourage electric cars effect og price many sector still rely og difficult lose og la,1
yumee wait end world,-1
sap heavy move sen,-1
ik please buy back shares big show come pm,1
